Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
jogar	verb	—		http://kaiko.getalp.org/dbnary/por/jogar__verbo__1	Jogar	in the sense of ' a game of chance or game with stakes ; a raffle.’
lâmpada	noun	feminine	lâmpada, lâmpadas	https://en.wiktionary.org/wiki/l%C3%A2mpada#Portuguese	Lâmpada	lamp
leilão	noun	masculine	leilão, leilões	https://en.wiktionary.org/wiki/leil%C3%A3o#Portuguese	Leilão	auction sale
limão	noun	masculine	limão, limões		Limão	bot., Citrus medica, var. Limonum, Hooker ; lemon
linguiça	noun	feminine	linguiça, linguiças	http://kaiko.getalp.org/dbnary/por/linguiça__Substantivo__1	Linguiça	thin sausage
linguiça	noun	feminine	linguiça, linguiças	http://kaiko.getalp.org/dbnary/por/linguiça__Substantivo__1	Linguiça	thin sausage
mármore	noun	masculine	mármore, mármores	http://kaiko.getalp.org/dbnary/por/mármore__Substantivo__1	Marmore	marble
mármore	noun	masculine	mármore, mármores	http://kaiko.getalp.org/dbnary/por/mármore__Substantivo__1	Marmore	marble
martelo	noun	masculine	martelo, martelos	http://kaiko.getalp.org/dbnary/por/martelo__Substantivo__1	Martelo	hammer, mallet
martelo	noun	masculine	martelo, martelos	http://kaiko.getalp.org/dbnary/por/martelo__Substantivo__1	Martelo	hammer, mallet
mastro	noun	masculine	mastro, mastros	http://kaiko.getalp.org/dbnary/por/mastro__Substantivo__1	Mastro	ship’s mast
mastro	noun	masculine	mastro, mastros	http://kaiko.getalp.org/dbnary/por/mastro__Substantivo__1	Mastro	ship’s mast
mês	noun	masculine	mês, meses	http://kaiko.getalp.org/dbnary/por/mês__Substantivo__1	Mês	month
mês	noun	masculine	mês, meses	http://kaiko.getalp.org/dbnary/por/mês__Substantivo__1	Mês	month
mês	noun	masculine	mês, meses	http://kaiko.getalp.org/dbnary/por/mês__Substantivo__1	Mês	month
mesa	noun	feminine	mesa, mesas	http://kaiko.getalp.org/dbnary/por/mesa__Substantivo__1	Mesa	table
mesa	noun	feminine	mesa, mesas	http://kaiko.getalp.org/dbnary/por/mesa__Substantivo__1	Mesa	table
mestiço	noun	masculine	mestiços, mestiços	http://kaiko.getalp.org/dbnary/por/mestiço__Substantivo__1	Mestiço	a half-caste
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
mestre	noun	masculine	mestre, mestres	http://kaiko.getalp.org/dbnary/por/mestre__Substantivo__1	Mestre	master
Moçambique	proper noun			https://en.wiktionary.org/wiki/Mo%C3%A7ambique		Mozambique
música	noun	feminine	música, músicas		Música	music
naulo	noun				Naulo	freight or fare
órgão	noun	masculine	órgão, órgãos		Órgão	organ, in the sense of ‘ musical instrument ’
outubro	noun	masculine	outubro, outubros	http://kaiko.getalp.org/dbnary/por/outubro__Substantivo__1		October
padre	noun	masculine	padre, padres	http://kaiko.getalp.org/dbnary/por/padre__Substantivo__1	Padre	in the sense of ‘ priest, clergyman, missionary, parish priest, pastor’
paga	noun	feminine	paga, pagas	https://en.wiktionary.org/wiki/paga#Portuguese	Paga	‘salary, payment’
página	noun	feminine	página, páginas	https://en.wiktionary.org/wiki/p%C3%A1gina#Portuguese	Página	page of a book
pão	noun	masculine	pão, pães	http://kaiko.getalp.org/dbnary/por/pão__Substantivo__1	Pão	bread, loaf
pão	noun	masculine	pão, pães	http://kaiko.getalp.org/dbnary/por/pão__Substantivo__1	Pão	bread, loaf
papaia	noun	feminine	papaia, papaias	http://kaiko.getalp.org/dbnary/por/papaia__Substantivo__1	Papaia	bot., Carica papaya, Linn., the papaw tree and its fruit
papaia	noun	feminine	papaia, papaias	http://kaiko.getalp.org/dbnary/por/papaia__Substantivo__1	Papaia	bot., Oarica papaya, Linn., the papaw tree and its fruit
pera	noun	feminine	pera, peras		Pera	for ‘ guava,'  Psidium guayava
peru	noun	masculine	peru, perus	http://kaiko.getalp.org/dbnary/por/peru__Substantivo__1	Peru	popular form perum, turkey
pipa	noun	feminine	pipa, pipas	http://kaiko.getalp.org/dbnary/por/pipa__Substantivo__1	Pipa	a cask ; also a barrel
pipa	noun	feminine	pipa, pipas	http://kaiko.getalp.org/dbnary/por/pipa__Substantivo__1	Pipa	a cask ; also a barrel
pires	noun	masculine	pires, pires	http://kaiko.getalp.org/dbnary/por/pires__Substantivo__1	Pires	saucer
pistola	noun	feminine	pistola, pistolas	http://kaiko.getalp.org/dbnary/por/pistola__Substantivo__1	Pistola	a pistol
pistola	noun	feminine	pistola, pistolas	http://kaiko.getalp.org/dbnary/por/pistola__Substantivo__1	Pistola	a pistol
polícia	noun	feminine	polícia, polícias	http://kaiko.getalp.org/dbnary/por/polícia__Substantivo__1	? Polícia	police
polícia	noun	feminine	polícia, polícias	http://kaiko.getalp.org/dbnary/por/polícia__Substantivo__1	? Polícia	police
pompa	noun	feminine	pompa, pompas			#VALUE!
prato	noun	masculine	prato, pratos	http://kaiko.getalp.org/dbnary/por/prato__Substantivo__1	Prato	plate; dish
prego	noun	masculine	prego, pregos	http://kaiko.getalp.org/dbnary/por/prego__Substantivo__1	Prego	hairpin, nail
querubim	noun	masculine	querubim, querubins	http://kaiko.getalp.org/dbnary/por/querubim__Substantivo__1	Querubim	a cherub
querubim	noun	masculine	querubim, querubins	http://kaiko.getalp.org/dbnary/por/querubim__Substantivo__1	Querubim	a cherub
recibo	noun	masculine	recibo, recibos	http://kaiko.getalp.org/dbnary/por/recibo__Substantivo__1	Recibo	receipt
sabão	noun	masculine	sabão, sabões	https://en.wiktionary.org/wiki/sab%C3%A3o#Portuguese	Sabão	soap
sagu	noun	masculine	sagu, sagus	http://kaiko.getalp.org/dbnary/por/sagu__Substantivo__1	? Sagu	‘farinaceous pith taken out of the stem of certain palms’
sagu	noun	masculine	sagu, sagus	http://kaiko.getalp.org/dbnary/por/sagu__Substantivo__1	? Sagu	‘farinaceous pith taken out of the stem of certain palms’
